[info]: OpenGL backend
[info]: Vendor: AMD
[debug]: profiler block update_sound: (64356 cycles, 1 calls)
[debug]: profiler block move_entity: (4026791 cycles, 1 calls)
[debug]: profiler block update game: (4037734 cycles, 1 calls)
[debug]: profiler block update_sound: (66426 cycles, 1 calls)
[debug]: profiler block move_entity: (4045193 cycles, 1 calls)
[debug]: profiler block update game: (4055223 cycles, 1 calls)
[debug]: profiler block update_sound: (62757 cycles, 1 calls)
[debug]: profiler block move_entity: (4051108 cycles, 1 calls)
[debug]: profiler block update game: (4064724 cycles, 1 calls)
[debug]: profiler block update_sound: (70539 cycles, 1 calls)
[debug]: profiler block move_entity: (4080112 cycles, 1 calls)
[debug]: profiler block update game: (4090881 cycles, 1 calls)
[debug]: profiler block update_sound: (67039 cycles, 1 calls)
[debug]: profiler block move_entity: (4235303 cycles, 1 calls)
